category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
0,4640.165761,0.6764587398,1.098318673e+10,2.266710963e+10,0.6969898426,0.6648126001,0.2827656375,1.007971686
2,0.0015621,2.27728114e-07,11545.82085,2089.639177,7.326944403e-07,6.128785174e-08,0.1425280693,1.015420971
10,0.0124054,1.808500317e-06,11357.60889,98887.03847,7.207505642e-07,2.900296961e-06,0.2025324358,1.091215166
20,820.7873295,0.1196570966,1090019009,5200570612,0.06917229,0.152529587,0.2066292882,0.9730537387
25,514.3057174,0.07497719163,1165219908,2677627614,0.07394451724,0.07853319656,0.1768350783,0.9240371314
35,273.3493501,0.03984977401,650914857.8,1363339558,0.04130686798,0.03998592372,0.1722500142,0.9091423982
40,0.0397213,5.79070273e-06,68397.47325,173296.6965,4.340483803e-06,5.082687174e-06,0.2048560044,0.8133309781
45,140.098293,0.02042399337,331007015.8,670482122.7,0.02100560916,0.01966483467,0.1560778433,0.8709502579
50,469.3448247,0.06842264372,1535201502,1508547168,0.09742344177,0.04424477499,0.1402121468,0.7887326465
55,0.0557651,8.129621055e-06,147907.3314,274549.3589,9.38615633e-06,8.052366454e-06,0.1226426176,0.8802072779
65,1.334887758,0.0001946043605,2241597.874,7261873.536,0.0001422511506,0.0002129863536,0.160009419,0.8719984106
Grand Total,6859.495617,1,1.575802983e+10,3.40954874e+10,1,1,0.2489592571,0.9757515241
