zone,age_anchor_years,cc_bucket,tariff_pct
A,0,<1000,3.127
A,0,1000-1500,3.283
A,0,>1500,3.44
A,5,<1000,3.283
A,5,1000-1500,3.447
A,5,>1500,3.612
A,10,<1000,3.362
A,10,1000-1500,3.529
A,10,>1500,3.698
B,0,<1000,3.039
B,0,1000-1500,3.191
B,0,>1500,3.343
B,5,<1000,3.191
B,5,1000-1500,3.351
B,5,>1500,3.51
B,10,<1000,3.267
B,10,1000-1500,3.43
B,10,>1500,3.594
C,0,<1000,2.948
C,0,1000-1500,3.095
C,0,>1500,3.243
C,5,<1000,3.095
C,5,1000-1500,3.25
C,5,>1500,3.405
C,10,<1000,3.169
C,10,1000-1500,3.327
C,10,>1500,3.486
